dataset,model,variant,feature,importance
occupation,XGBoost,Optimal,cat__EDUCATION_7th-8th,0.0026941963005810976
occupation,XGBoost,Optimal,cat__EDUCATION_9th,0.003408843418583274
occupation,XGBoost,Optimal,cat__EDUCATION_Assoc-acdm,0.00587633578106761
occupation,XGBoost,Optimal,cat__EDUCATION_Assoc-voc,0.009182451292872429
occupation,XGBoost,Optimal,cat__EDUCATION_Bachelors,0.007435494102537632
occupation,XGBoost,Optimal,cat__EDUCATION_Doctorate,0.006776667200028896
occupation,XGBoost,Optimal,cat__EDUCATION_HS-grad,0.012135622091591358
occupation,XGBoost,Optimal,cat__EDUCATION_Masters,0.002966808620840311
occupation,XGBoost,Optimal,cat__EDUCATION_Preschool,0.0
occupation,XGBoost,Optimal,cat__EDUCATION_Prof-school,0.002755392575636506
occupation,XGBoost,Optimal,cat__EDUCATION_Some-college,0.003768186317756772
occupation,XGBoost,Optimal,cat__MARITAL_STATUS_Divorced,0.004304797388613224
occupation,XGBoost,Optimal,cat__MARITAL_STATUS_Married-AF-spouse,0.0
occupation,XGBoost,Optimal,cat__MARITAL_STATUS_Married-civ-spouse,0.6290359497070312
occupation,XGBoost,Optimal,cat__MARITAL_STATUS_Married-spouse-absent,0.007543287239968777
occupation,XGBoost,Optimal,cat__MARITAL_STATUS_Never-married,0.011187177151441574
occupation,XGBoost,Optimal,cat__MARITAL_STATUS_Separated,0.004634155426174402
occupation,XGBoost,Optimal,cat__MARITAL_STATUS_Widowed,0.011589252389967442
occupation,XGBoost,Optimal,cat__OCCUPATION_Adm-clerical,0.008750065229833126
occupation,XGBoost,Optimal,cat__OCCUPATION_Armed-Forces,0.0
occupation,XGBoost,Optimal,cat__OCCUPATION_Craft-repair,0.004671406000852585
occupation,XGBoost,Optimal,cat__OCCUPATION_Exec-managerial,0.008188205771148205
occupation,XGBoost,Optimal,cat__OCCUPATION_Farming-fishing,0.013124380260705948
occupation,XGBoost,Optimal,cat__OCCUPATION_Handlers-cleaners,0.01217123307287693
occupation,XGBoost,Optimal,cat__OCCUPATION_Machine-op-inspct,0.008118070662021637
occupation,XGBoost,Optimal,cat__OCCUPATION_Other-service,0.014352850615978241
occupation,XGBoost,Optimal,cat__OCCUPATION_Priv-house-serv,0.004783662501722574
occupation,XGBoost,Optimal,cat__OCCUPATION_Prof-specialty,0.006849369965493679
occupation,XGBoost,Optimal,cat__OCCUPATION_Protective-serv,0.008619964122772217
occupation,XGBoost,Optimal,cat__OCCUPATION_Sales,0.008650582283735275
occupation,XGBoost,Optimal,cat__OCCUPATION_Tech-support,0.0059244055300951
occupation,XGBoost,Optimal,cat__OCCUPATION_Transport-moving,0.004302621353417635
occupation,XGBoost,Optimal,cat__RACE_Amer-Indian-Eskimo,0.0
occupation,XGBoost,Optimal,cat__RACE_Asian-Pac-Islander,0.004727456718683243
occupation,XGBoost,Optimal,cat__RACE_Black,0.0058647142723202705
occupation,XGBoost,Optimal,cat__RACE_Other,0.0
occupation,XGBoost,Optimal,cat__RACE_White,0.006531366612762213
occupation,XGBoost,Optimal,cat__GENDER_Female,0.007572768721729517
occupation,XGBoost,Optimal,cat__GENDER_Male,0.0
occupation,XGBoost,Optimal,num__AGE,0.007394683081656694
occupation,XGBoost,Optimal,num__EDUCATION_YEARS,0.0559372715651989
occupation,XGBoost,Optimal,num__CAPITAL_GAIN,0.050071947276592255
occupation,XGBoost,Optimal,num__CAPITAL_LOSS,0.008931264281272888
occupation,XGBoost,Optimal,num__HOURS_PER_WEEK,0.01060413010418415
occupation,XGBoost,Underfit,cat__EDUCATION_10th,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_11th,0.002278899075463414
occupation,XGBoost,Underfit,cat__EDUCATION_12th,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_1st-4th,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_5th-6th,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_7th-8th,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_9th,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_Assoc-acdm,0.001819502329453826
occupation,XGBoost,Underfit,cat__EDUCATION_Assoc-voc,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_Bachelors,0.004656187258660793
occupation,XGBoost,Underfit,cat__EDUCATION_Doctorate,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_HS-grad,0.025134693831205368
occupation,XGBoost,Underfit,cat__EDUCATION_Masters,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_Preschool,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_Prof-school,0.0
occupation,XGBoost,Underfit,cat__EDUCATION_Some-college,0.0
occupation,XGBoost,Underfit,cat__MARITAL_STATUS_Divorced,0.0
