dataset,feature,model,variant,split,random,majority,accuracy,duration
occupation,MARITAL_STATUS,XGBoost,Optimal,Train,0.34443248,0.4614,0.39275,3.930837869644165
occupation,MARITAL_STATUS,XGBoost,Optimal,Test,0.34443248,0.4614,0.378,1.0704848766326904
occupation,MARITAL_STATUS,XGBoost,Underfit,Train,0.34443248,0.4614,0.15375,3.8965375423431396
occupation,MARITAL_STATUS,XGBoost,Underfit,Test,0.34443248,0.4614,0.161,1.0251142978668213
occupation,MARITAL_STATUS,XGBoost,Overfit,Train,0.34443248,0.4614,0.28775,4.012871980667114
occupation,MARITAL_STATUS,XGBoost,Overfit,Test,0.34443248,0.4614,0.275,1.1473512649536133
occupation,MARITAL_STATUS,Decision Tree,Optimal,Train,0.34443248,0.4614,0.2365,3.1145272254943848
occupation,MARITAL_STATUS,Decision Tree,Optimal,Test,0.34443248,0.4614,0.245,0.804619550704956
occupation,MARITAL_STATUS,Decision Tree,Underfit,Train,0.34443248,0.4614,0.18125,3.0931813716888428
occupation,MARITAL_STATUS,Decision Tree,Underfit,Test,0.34443248,0.4614,0.195,0.8021078109741211
occupation,MARITAL_STATUS,Decision Tree,Overfit,Train,0.34443248,0.4614,0.32025,3.1371829509735107
occupation,MARITAL_STATUS,Decision Tree,Overfit,Test,0.34443248,0.4614,0.314,0.8072829246520996
occupation,MARITAL_STATUS,Random Forest,Optimal,Train,0.34443248,0.4614,0.39875,7.058326005935669
occupation,MARITAL_STATUS,Random Forest,Optimal,Test,0.34443248,0.4614,0.338,2.1744673252105713
occupation,MARITAL_STATUS,Random Forest,Underfit,Train,0.34443248,0.4614,0.396,4.39246940612793
occupation,MARITAL_STATUS,Random Forest,Underfit,Test,0.34443248,0.4614,0.379,1.1495978832244873
occupation,MARITAL_STATUS,Random Forest,Overfit,Train,0.34443248,0.4614,0.445,12.052714586257935
occupation,MARITAL_STATUS,Random Forest,Overfit,Test,0.34443248,0.4614,0.391,3.908966541290283
occupation,OCCUPATION,XGBoost,Optimal,Train,0.10524127999999999,0.1342,0.092,4.253378629684448
occupation,OCCUPATION,XGBoost,Optimal,Test,0.10524127999999999,0.1342,0.083,1.1666114330291748
occupation,OCCUPATION,XGBoost,Underfit,Train,0.10524127999999999,0.1342,0.1095,4.054286479949951
occupation,OCCUPATION,XGBoost,Underfit,Test,0.10524127999999999,0.1342,0.096,1.1092860698699951
occupation,OCCUPATION,XGBoost,Overfit,Train,0.10524127999999999,0.1342,0.09475,4.323592185974121
occupation,OCCUPATION,XGBoost,Overfit,Test,0.10524127999999999,0.1342,0.078,1.1928751468658447
occupation,OCCUPATION,Decision Tree,Optimal,Train,0.10524127999999999,0.1342,0.14625,3.329258918762207
occupation,OCCUPATION,Decision Tree,Optimal,Test,0.10524127999999999,0.1342,0.134,0.8529825210571289
occupation,OCCUPATION,Decision Tree,Underfit,Train,0.10524127999999999,0.1342,0.12875,3.3047382831573486
occupation,OCCUPATION,Decision Tree,Underfit,Test,0.10524127999999999,0.1342,0.119,0.8450775146484375
occupation,OCCUPATION,Decision Tree,Overfit,Train,0.10524127999999999,0.1342,0.12275,3.330136299133301
occupation,OCCUPATION,Decision Tree,Overfit,Test,0.10524127999999999,0.1342,0.109,0.874312162399292
occupation,OCCUPATION,Random Forest,Optimal,Train,0.10524127999999999,0.1342,0.2215,7.27217173576355
occupation,OCCUPATION,Random Forest,Optimal,Test,0.10524127999999999,0.1342,0.13,2.2280476093292236
occupation,OCCUPATION,Random Forest,Underfit,Train,0.10524127999999999,0.1342,0.17375,4.629387617111206
occupation,OCCUPATION,Random Forest,Underfit,Test,0.10524127999999999,0.1342,0.14,1.215667724609375
occupation,OCCUPATION,Random Forest,Overfit,Train,0.10524127999999999,0.1342,0.24725,12.21949553489685
occupation,OCCUPATION,Random Forest,Overfit,Test,0.10524127999999999,0.1342,0.138,3.727754592895508
occupation,RACE,XGBoost,Optimal,Train,0.7318971999999999,0.8492,0.38725,3.933971881866455
occupation,RACE,XGBoost,Optimal,Test,0.7318971999999999,0.8492,0.372,1.0252983570098877
occupation,RACE,XGBoost,Underfit,Train,0.7318971999999999,0.8492,0.8125,3.796156406402588
occupation,RACE,XGBoost,Underfit,Test,0.7318971999999999,0.8492,0.786,1.015920639038086
occupation,RACE,XGBoost,Overfit,Train,0.7318971999999999,0.8492,0.37175,3.96105694770813
occupation,RACE,XGBoost,Overfit,Test,0.7318971999999999,0.8492,0.334,1.096050500869751
occupation,RACE,Decision Tree,Optimal,Train,0.7318971999999999,0.8492,0.85025,3.0415680408477783
occupation,RACE,Decision Tree,Optimal,Test,0.7318971999999999,0.8492,0.845,0.7784333229064941
