Dataset,Feature,Model,Variant,Data,Attack_Accuracy,Random_Baseline,Majority_Baseline,Successful_Attack,Improvement_Over_Baseline
personality,Stage_fear,RandomForest,Optimal,Test,0.581,0.5,0.5518,True,1.0529177238129757
personality,Stage_fear,RandomForest,Overfitted,Train,0.57625,0.5,0.5518,True,1.0443095324392897
personality,Stage_fear,RandomForest,Overfitted,Test,0.541,0.5,0.5518,False,0.9804276911924612
personality,Stage_fear,NeuralNetwork,Underfitted,Train,0.757,0.5,0.5518,True,1.3718738673432405
personality,Stage_fear,NeuralNetwork,Underfitted,Test,0.726,0.5,0.5518,True,1.3156940920623414
personality,Stage_fear,NeuralNetwork,Optimal,Train,0.65675,0.5,0.5518,True,1.1901957230880753
personality,Stage_fear,NeuralNetwork,Optimal,Test,0.611,0.5,0.5518,True,1.1072852482783617
personality,Stage_fear,NeuralNetwork,Overfitted,Train,0.577,0.5,0.5518,True,1.0456687205509243
personality,Stage_fear,NeuralNetwork,Overfitted,Test,0.559,0.5,0.5518,True,1.0130482058716928
personality,Drained_after_socializing,XGBoost,Underfitted,Train,0.737,0.5,0.5506,True,1.338539774791137
personality,Drained_after_socializing,XGBoost,Underfitted,Test,0.754,0.5,0.5506,True,1.3694151834362513
personality,Drained_after_socializing,XGBoost,Optimal,Train,0.694,0.5,0.5506,True,1.2604431529240827
personality,Drained_after_socializing,XGBoost,Optimal,Test,0.698,0.5,0.5506,True,1.2677079549582273
personality,Drained_after_socializing,XGBoost,Overfitted,Train,0.657,0.5,0.5506,True,1.1932437341082456
personality,Drained_after_socializing,XGBoost,Overfitted,Test,0.646,0.5,0.5506,True,1.173265528514348
personality,Drained_after_socializing,DecisionTree,Underfitted,Train,0.449,0.5,0.5506,False,0.815474028332728
personality,Drained_after_socializing,DecisionTree,Underfitted,Test,0.451,0.5,0.5506,False,0.8191064293498003
personality,Drained_after_socializing,DecisionTree,Optimal,Train,0.459,0.5,0.5506,False,0.8336360334180895
personality,Drained_after_socializing,DecisionTree,Optimal,Test,0.454,0.5,0.5506,False,0.8245550308754087
personality,Drained_after_socializing,DecisionTree,Overfitted,Train,0.44825,0.5,0.5506,False,0.8141118779513258
personality,Drained_after_socializing,DecisionTree,Overfitted,Test,0.452,0.5,0.5506,False,0.8209226298583364
personality,Drained_after_socializing,RandomForest,Underfitted,Train,0.69075,0.5,0.5506,True,1.2545405012713404
personality,Drained_after_socializing,RandomForest,Underfitted,Test,0.683,0.5,0.5506,True,1.2404649473301854
personality,Drained_after_socializing,RandomForest,Optimal,Train,0.60525,0.5,0.5506,True,1.0992553577915
personality,Drained_after_socializing,RandomForest,Optimal,Test,0.607,0.5,0.5506,True,1.1024337086814384
personality,Drained_after_socializing,RandomForest,Overfitted,Train,0.57525,0.5,0.5506,True,1.044769342535416
personality,Drained_after_socializing,RandomForest,Overfitted,Test,0.563,0.5,0.5506,True,1.0225208863058481
personality,Drained_after_socializing,NeuralNetwork,Underfitted,Train,0.73525,0.5,0.5506,True,1.3353614239011986
personality,Drained_after_socializing,NeuralNetwork,Underfitted,Test,0.75,0.5,0.5506,True,1.3621503814021068
personality,Drained_after_socializing,NeuralNetwork,Optimal,Train,0.67025,0.5,0.5506,True,1.2173083908463496
personality,Drained_after_socializing,NeuralNetwork,Optimal,Test,0.705,0.5,0.5506,True,1.2804213585179804
personality,Drained_after_socializing,NeuralNetwork,Overfitted,Train,0.602,0.5,0.5506,True,1.0933527061387578
personality,Drained_after_socializing,NeuralNetwork,Overfitted,Test,0.596,0.5,0.5506,True,1.082455503087541
personality,Time_Alone_Category,XGBoost,Underfitted,Train,0.34275,0.3333333333333333,0.441,False,0.7772108843537415
personality,Time_Alone_Category,XGBoost,Underfitted,Test,0.349,0.3333333333333333,0.441,False,0.7913832199546484
personality,Time_Alone_Category,XGBoost,Optimal,Train,0.48225,0.3333333333333333,0.441,True,1.0935374149659864
personality,Time_Alone_Category,XGBoost,Optimal,Test,0.446,0.3333333333333333,0.441,True,1.0113378684807257
personality,Time_Alone_Category,XGBoost,Overfitted,Train,0.4805,0.3333333333333333,0.441,True,1.0895691609977325
personality,Time_Alone_Category,XGBoost,Overfitted,Test,0.433,0.3333333333333333,0.441,False,0.981859410430839
personality,Time_Alone_Category,DecisionTree,Underfitted,Train,0.34275,0.3333333333333333,0.441,False,0.7772108843537415
personality,Time_Alone_Category,DecisionTree,Underfitted,Test,0.349,0.3333333333333333,0.441,False,0.7913832199546484
personality,Time_Alone_Category,DecisionTree,Optimal,Train,0.3515,0.3333333333333333,0.441,False,0.7970521541950113
personality,Time_Alone_Category,DecisionTree,Optimal,Test,0.354,0.3333333333333333,0.441,False,0.8027210884353742
personality,Time_Alone_Category,DecisionTree,Overfitted,Train,0.342,0.3333333333333333,0.441,False,0.7755102040816327
personality,Time_Alone_Category,DecisionTree,Overfitted,Test,0.35,0.3333333333333333,0.441,False,0.7936507936507936
personality,Time_Alone_Category,RandomForest,Underfitted,Train,0.427,0.3333333333333333,0.441,False,0.9682539682539683
personality,Time_Alone_Category,RandomForest,Underfitted,Test,0.401,0.3333333333333333,0.441,False,0.9092970521541951
personality,Time_Alone_Category,RandomForest,Optimal,Train,0.45175,0.3333333333333333,0.441,True,1.02437641723356
personality,Time_Alone_Category,RandomForest,Optimal,Test,0.414,0.3333333333333333,0.441,False,0.9387755102040816
personality,Time_Alone_Category,RandomForest,Overfitted,Train,0.429,0.3333333333333333,0.441,False,0.9727891156462585
personality,Time_Alone_Category,RandomForest,Overfitted,Test,0.392,0.3333333333333333,0.441,False,0.888888888888889
personality,Time_Alone_Category,NeuralNetwork,Underfitted,Train,0.4905,0.3333333333333333,0.441,True,1.1122448979591837
personality,Time_Alone_Category,NeuralNetwork,Underfitted,Test,0.498,0.3333333333333333,0.441,True,1.129251700680272
personality,Time_Alone_Category,NeuralNetwork,Optimal,Train,0.45025,0.3333333333333333,0.441,True,1.0209750566893423
personality,Time_Alone_Category,NeuralNetwork,Optimal,Test,0.405,0.3333333333333333,0.441,False,0.9183673469387755
personality,Time_Alone_Category,NeuralNetwork,Overfitted,Train,0.46125,0.3333333333333333,0.441,True,1.0459183673469388
personality,Time_Alone_Category,NeuralNetwork,Overfitted,Test,0.43,0.3333333333333333,0.441,False,0.9750566893424036
personality,Social_Events_Category,XGBoost,Underfitted,Train,0.5065,0.3333333333333333,0.4846,True,1.0451919108543128
personality,Social_Events_Category,XGBoost,Underfitted,Test,0.508,0.3333333333333333,0.4846,True,1.0482872472141973
personality,Social_Events_Category,XGBoost,Optimal,Train,0.5085,0.3333333333333333,0.4846,True,1.0493190260008254
personality,Social_Events_Category,XGBoost,Optimal,Test,0.511,0.3333333333333333,0.4846,True,1.0544779199339662
personality,Social_Events_Category,XGBoost,Overfitted,Train,0.5015,0.3333333333333333,0.4846,True,1.0348741229880314
personality,Social_Events_Category,XGBoost,Overfitted,Test,0.502,0.3333333333333333,0.4846,True,1.0359059017746595
personality,Social_Events_Category,DecisionTree,Underfitted,Train,0.48575,0.3333333333333333,0.4846,True,1.0023730912092448
personality,Social_Events_Category,DecisionTree,Underfitted,Test,0.48,0.3333333333333333,0.4846,False,0.9905076351630211
personality,Social_Events_Category,DecisionTree,Optimal,Train,0.47475,0.3333333333333333,0.4846,False,0.9796739579034256
personality,Social_Events_Category,DecisionTree,Optimal,Test,0.454,0.3333333333333333,0.4846,False,0.9368551382583575
personality,Social_Events_Category,DecisionTree,Overfitted,Train,0.48525,0.3333333333333333,0.4846,True,1.0013413124226167
personality,Social_Events_Category,DecisionTree,Overfitted,Test,0.481,0.3333333333333333,0.4846,False,0.9925711927362774
personality,Social_Events_Category,RandomForest,Underfitted,Train,0.48725,0.3333333333333333,0.4846,True,1.0054684275691292
personality,Social_Events_Category,RandomForest,Underfitted,Test,0.478,0.3333333333333333,0.4846,False,0.9863805200165084
personality,Social_Events_Category,RandomForest,Optimal,Train,0.49875,0.3333333333333333,0.4846,True,1.0291993396615766
personality,Social_Events_Category,RandomForest,Optimal,Test,0.472,0.3333333333333333,0.4846,False,0.9739991745769707
personality,Social_Events_Category,RandomForest,Overfitted,Train,0.52625,0.3333333333333333,0.4846,True,1.0859471729261247
personality,Social_Events_Category,RandomForest,Overfitted,Test,0.479,0.3333333333333333,0.4846,False,0.9884440775897647
personality,Social_Events_Category,NeuralNetwork,Underfitted,Train,0.5055,0.3333333333333333,0.4846,True,1.0431283532810565
personality,Social_Events_Category,NeuralNetwork,Underfitted,Test,0.507,0.3333333333333333,0.4846,True,1.0462236896409411
personality,Social_Events_Category,NeuralNetwork,Optimal,Train,0.49425,0.3333333333333333,0.4846,True,1.0199133305819232
personality,Social_Events_Category,NeuralNetwork,Optimal,Test,0.495,0.3333333333333333,0.4846,True,1.0214609987618655
personality,Social_Events_Category,NeuralNetwork,Overfitted,Train,0.48625,0.3333333333333333,0.4846,True,1.0034048699958729
personality,Social_Events_Category,NeuralNetwork,Overfitted,Test,0.492,0.3333333333333333,0.4846,True,1.0152703260420965
occupation,Gender,XGBoost,Underfitted,Train,0.389,0.5,0.677,False,0.5745937961595273
occupation,Gender,XGBoost,Underfitted,Test,0.378,0.5,0.677,False,0.5583456425406204
occupation,Gender,XGBoost,Optimal,Train,0.3925,0.5,0.677,False,0.5797636632200887
occupation,Gender,XGBoost,Optimal,Test,0.379,0.5,0.677,False,0.5598227474150664
occupation,Gender,XGBoost,Overfitted,Train,0.46575,0.5,0.677,False,0.6879615952732644
